"lancamento","titulo_do_album","info_album"
"1999","Everyday","1º álbum ao vivo
"
"2000","Best Friend","2º álbum ao vivo
"
"2001","King of Majesty","3º álbum ao vivo
"
"2002","To the Ends of the Earth","4º álbum ao vivo
"
"2004","More than Life","5º álbum ao vivo
"
"2005","Look to You","6º álbum ao vivo
"
"2006","United We Stand","7º álbum ao vivo
"
"2007","All of the Above","1º álbum em estúdio
"
"2008","The I Heart Revolution: With Hearts as One","8º álbum ao vivo
"
"2009","Across the Earth: Tear Down the Walls","9º álbum ao vivo
"
"2011","Aftermath","2º álbum em estúdio
"
"2012","Live in Miami","10º álbum ao vivo
"
"2013","Zion","3º álbum em estúdio
"
"2013","Zion (Acoustic Sessions)","11º álbum ao vivo
"
"2014","White Allbum: The Remix Project","1° álbum remixado
"
"2015","Empires","4º álbum de estúdio
"
"2016","Of Dirt and Grace: Live from the Land","12º álbum ao vivo
"
"2017","Wonder","5º álbum de estúdio
"
"2019","People","13º álbum ao vivo
"
